ID,値
1,0.4805450889
2,0.2309571945
3,0.5845843833
4,0.2235681326
5,0.5400465976
6,0.1930133027
7,0.9909906024
8,0.518770718
9,0.9074665273
10,0.71639359
11,0.2674571036
12,0.2500069824
13,0.63036508
14,0.4209292363
15,0.8976593954
16,0.7955875697
17,0.0737008599
18,0.2228954954
19,0.1122378579
20,0.1718884744
21,0.9492047837
22,0.3902440045
23,0.4544941762
24,0.057754341
25,0.2704997999
26,0.6888265098
27,0.906966069
28,0.6752261992
29,0.6302512605
30,0.5951558354
31,0.2120991796
32,0.9077147909
33,0.3277182679
34,0.5054702882
35,0.0651281851
36,0.1255185909
37,0.150914734
38,0.1052372514
39,0.6847124409
40,0.6741539475
41,0.5502877594
42,0.5770463101
43,0.8782880043
44,0.0562518074
45,0.7746139062
46,0.3193047347
47,0.7650862026
48,0.9877256884
49,0.6905378727
50,0.0283349366
51,0.3919764864
52,0.6267378856
53,0.9633968957
54,0.5913501901
55,0.3110050026
56,0.0409940684
57,0.014308284
58,0.7496065497
59,0.1891984008
60,0.6362562098
61,0.0815299544
62,0.9757613188
63,0.6442625399
64,0.2302737553
65,0.8720080927
66,0.3252629929
67,0.3358569143
68,0.6708815282
69,0.6227668885
70,0.9395485686
71,0.7664511637
72,0.0290647759
73,0.282896199
74,0.8765718269
75,0.6640345971
76,0.2586431655
77,0.6683670201
78,0.9073946499
79,0.2603299313
80,0.3720236486
81,0.8426245444
82,0.5757308179
83,0.9767305194
84,0.6052339433
85,0.2118533871
86,0.8739699798
87,0.2677172788
88,0.6297150298
89,0.4499470461
90,0.4694272617
91,0.4442353486
92,0.179672634
93,0.824835144
94,0.3274543199
95,0.6377534401
96,0.018814076
97,0.4967386271
98,0.4609510317
99,0.3887602736
100,0.3067599765
101,0.4680072248
102,0.9617578306
103,0.1010199743
104,0.5745653636
105,0.4334141654
106,0.1471751905
107,0.8399054899
108,0.2779207302
109,0.194183009
110,0.9257783517
111,0.2206863931
112,0.6806233348
113,0.6461088806
114,0.6763081383
115,0.4907479587
116,0.43178898
117,0.7675252771
118,0.9835829618
119,0.5686583817
120,0.673287052
121,0.1304136997
122,0.1860157219
123,0.9303984749
124,0.404075919
125,0.1818569757
126,0.4604553273
127,0.9583352855
128,0.4304644498
129,0.2682560927
130,0.6379406436
131,0.7583212878
132,0.6158345623
133,0.9403661808
134,0.2125698742
135,0.9103866904
136,0.1974636165
137,0.1295316436
138,0.7578324494
139,0.9362754298
140,0.6030826257
141,0.4819085381
142,0.2349871015
143,0.8575533826
144,0.9891272688
145,0.5003543266
146,0.3054213701
147,0.2368923
148,0.7116854312
149,0.6674638514
150,0.5739163456
151,0.4747883622
152,0.8092982194
153,0.3181675323
154,0.7707077728
155,0.3704276055
156,0.1975099668
157,0.5093643898
158,0.4523072287
159,0.436248929
160,0.5943339611
161,0.1809249329
162,0.7082223091
163,0.0321058948
164,0.9832781774
165,0.0116933854
166,0.3921865241
167,0.3606082418
168,0.8665933637
169,0.1121788018
170,0.9633023657
171,0.2318824152
172,0.690170988
173,0.0723346379
174,0.6319391853
175,0.3231147523
176,0.1433428428
177,0.1446722029
178,0.2067118681
179,0.2441405039
180,0.2808116626
181,0.6958359545
182,0.7574271737
183,0.5412766626
184,0.8424491163
185,0.8441416016
186,0.5619289039
187,0.1791338976
188,0.9453028901
189,0.1082312597
190,0.9901887646
191,0.7260592557
192,0.9520971375
193,0.1022435525
194,0.490187472
195,0.113887473
196,0.268319332
197,0.6614376979
198,0.4099461506
199,0.9002384231
200,0.3903349531
